cub, bishop, parkin
burins, shop, pucka
burins, shock, knap
burins, shock, knaps
burkas, sop, pinch
burkas, scop, pinch
burkas, scop, punish
burkas, shop, pinch
burkas, soap, pinch
burkas, soup, pinch
burkas, snip, porch
burkas, snip, pouch
buncos, ship, park
buncos, ship, parkin
buncos, shop, parkin
buncos, spar, rakish
buncos, spur, rakish
buncos, scrip, punkah
buncos, sapor, rakish
buncos, shirk, knap
buncos, shirk, knaps
buncos, shark, kip
buncos, shark, kips
buncos, spark, kish
buncos, spark, knish
buncos, spark, kirsch
buncos, spahi, irk
buncos, spank, kirsch
bunkos, sip, parch
bunkos, scup, parish
bunkos, scop, parish
bunkos, ship, parch
bunkos, snip, parch
bunkos, scrip, pah
bunkos, scrip, pash
bunkos, scrip, parch
bunkos, scrip, parish
bunkos, scrip, paunch
bunkos, scrip, punkah
bunkos, scrip, poisha
bunkos, scrap, pish
bunkos, scrap, pinch
bunkos, scrap, parish
bunkos, scrap, punish
bunkos, scrap, poisha
bunkos, spark, kirsch
bunkos, spahi, incr
bunkos, spahi, incur
bunkos, spahi, incurs
bunkos, spahi, inarch
bunkos, spank, kirsch
